Date,High,Low,Open,Close,Volume,Adj Close
2016-10-02,612.5679932,610.4550171,610.9680176,612.1329956,46798300,612.1329956
2016-10-03,612.0540161,609.4790039,612.052002,610.2039795,49801600,610.2039795
2016-10-04,613.8140259,609.6170044,610.2180176,612.5109863,68077504,612.5109863
2016-10-05,613.8189697,611.4689941,612.4699707,613.0209961,56812100,613.0209961
2016-10-06,617.9119873,611.8209839,612.6079712,617.1209717,64071400,617.1209717
2016-10-07,619.848999,617.3410034,617.3410034,619.1079712,42345900,619.1079712
2016-10-08,619.197998,616.6069946,619.1719971,616.7520142,39243400,616.7520142
2016-10-09,621.3179932,616.1970215,616.8220215,618.9940186,67481104,618.9940186
2016-10-10,642.0800171,618.5,619.2379761,641.0720215,103590000,641.0720215
2016-10-11,641.3369751,635.9650269,640.8709717,636.1920166,92370200,636.1920166
2016-10-12,638.8330078,635.0289917,636.0300293,636.7860107,61620700,636.7860107
2016-10-13,641.2849731,637.0079956,637.0079956,640.3779907,58144600,640.3779907
2016-10-14,642.1019897,637.3900146,640.3109741,638.6459961,39035400,638.6459961
2016-10-15,642.8980103,638.901001,639.0830078,641.6309814,40298100,641.6309814
2016-10-16,642.3280029,638.6630249,641.8179932,639.1929932,58063600,639.1929932
2016-10-17,640.7360229,635.9959717,639.4110107,637.960022,65546700,637.960022
2016-10-18,638.8740234,628.0130005,638.1339722,630.5200195,69381696,630.5200195
2016-10-19,631.9169922,628.2579956,630.6630249,630.8569946,56957300,630.8569946
2016-10-20,634.0939941,630.6939697,630.8250122,632.8280029,55951000,632.8280029
2016-10-21,658.1970215,632.8499756,633.1359863,657.2940063,78556496,657.2940063
2016-10-22,661.1290283,653.8859863,657.6209717,657.0709839,54474600,657.0709839
2016-10-23,657.2520142,652.5949707,657.1610107,653.7609863,62218200,653.7609863
2016-10-24,664.4240112,653.697998,654.0020142,657.5880127,90378800,657.5880127
2016-10-25,679.7280273,657.6779785,657.6779785,678.3040161,88877104,678.3040161
2016-10-26,688.5939941,678.039978,678.2139893,688.3129883,96105296,688.3129883
2016-10-27,690.4439697,684.1619873,688,689.651001,81145504,689.651001
2016-10-28,720.4019775,690.052002,690.2890015,714.4790039,134760992,714.4790039
2016-10-29,714.117981,696.4749756,714.117981,701.8640137,100665000,701.8640137
2016-10-31,709.2890015,691.6820068,702.6400146,700.9719849,97064400,700.9719849
2016-11-01,736.4520264,701.3369751,701.3369751,729.7930298,130527000,729.7930298
2016-11-02,740.8289795,722.348999,730.065979,740.8289795,84865200,740.8289795
2016-11-03,745.7730103,678.1560059,742.3460083,688.7000122,172808000,688.7000122
2016-11-04,706.9299927,685.5629883,689.1240234,703.2349854,99907696,703.2349854
